Comparison	Chi2	df	p_value
10 vs 100	104.78110153989275	9	1.6913468662367035e-18
10 vs 1000	93.53592955700799	9	3.170405418639569e-16
10 vs 10000	33.90690750204428	9	9.27408729811925e-05
100 vs 1000	150.35445005761503	9	7.44768670726944e-28
100 vs 10000	102.87463001931087	9	4.119637365548858e-18
1000 vs 10000	139.93904652689184	9	1.0619692209482501e-25
